67  56.9  158.9
68  49.9  166.0
69  55.3  162.2
70  65.9  167.8
71  62.3  170.9
72  47.4  164.9
73  57.3  168.1
74  50.0  164.0
75  58.8  163.3
76  80.2  183.2
77  59.9  167.0
78  56.3  163.8
79  67.9  174.0
80  52.9  163.0
81  58.5  167.1
82  73.2  168.1
83  54.7  163.0
84  44.1  154.6
85  70.5  170.3
86  60.6  170.6
87  73.2  175.1
88  57.2  156.5
89  56.4  160.3
90  56.6  170.8
91  46.3  156.5
92  63.3  165.2
93  65.4  169.8
94  60.1  171.2
95  55.0  160.4
96  55.7  163.8
97  71.2  169.6
98  65.5  172.7
99  57.2  162.4
100 58.2  166.8
101 56.0  157.1
102 64.5  181.1
103 53.0  158.4
104 52.4  165.6
105 56.8  166.7
106 49.2  156.5
107 55.6  168.1
108 77.8  165.3
109 69.6  163.7
110 56.2  173.7
111 52.5  163.9
112 64.9  169.2
113 59.3  170.1
114 54.2  166.0
115 49.8  164.2
116 62.6  176.0
117 66.6  170.9
118 65.3  169.2
119 65.9  172.0
120 59.0  163.0
121 47.4  154.5
122 60.4  172.5
123 56.3  175.6
124 61.7  167.2
125 52.4  164.0
126 52.1  162.1
127 58.4  161.6
128 52.8  153.6
129 60.4  177.5
130 61.0  169.8
131 67.4  173.5
132 54.3  166.8
133 56.3  166.2
134 97.7  162.8
135 68.1  168.6
136 63.1  169.2
